Province,Year,Population_Millions,Per_Capita_Spending,Total_Spending_Millions,Public_Spending_Millions,Private_Spending_Millions,Hospital_Spending_Millions,Drug_Spending_Millions,Physician_Spending_Millions
British Columbia,2015,5.3,6293,33355.5,23682.4,9673.1,8605.7,4569.7,4436.3
British Columbia,2016,5.3,6424,34045.8,24172.5,9873.3,8783.8,4664.3,4528.1
British Columbia,2017,5.3,6707,35545.9,25237.6,10308.3,9170.8,4869.8,4727.6
British Columbia,2018,5.3,6864,36381.4,25830.8,10550.6,9386.4,4984.3,4838.7
British Columbia,2019,5.3,7182,38064.5,27025.8,11038.7,9820.6,5214.8,5062.6
British Columbia,2020,5.3,7771,41188.9,29244.1,11944.8,10626.7,5642.9,5478.1
British Columbia,2021,5.3,8096,42906.6,30463.7,12442.9,11069.9,5878.2,5706.6
British Columbia,2022,5.3,8360,44309.9,31460.0,12849.9,11432.0,6070.5,5893.2
British Columbia,2023,5.3,8652,45853.5,32556.0,13297.5,11830.2,6281.9,6098.5
British Columbia,2024,5.3,9173,48617.8,34518.6,14099.2,12543.4,6660.6,6466.2
Alberta,2015,4.7,6366,29921.6,21244.3,8677.3,7719.8,4099.3,3979.6
Alberta,2016,4.7,6771,31825.4,22596.0,9229.4,8211.0,4360.1,4232.8
Alberta,2017,4.7,6920,32523.4,23091.6,9431.8,8391.0,4455.7,4325.6
Alberta,2018,4.7,7115,33438.9,23741.6,9697.3,8627.2,4581.1,4447.4
Alberta,2019,4.7,7518,35335.1,25087.9,10247.2,9116.4,4840.9,4699.6
Alberta,2020,4.7,7918,37215.3,26422.9,10792.5,9601.6,5098.5,4949.6
Alberta,2021,4.7,8475,39830.5,28279.6,11550.8,10276.3,5456.8,5297.5
Alberta,2022,4.7,8432,39631.0,28138.0,11493.0,10224.8,5429.4,5270.9
Alberta,2023,4.7,8868,41681.1,29593.6,12087.5,10753.7,5710.3,5543.6
Alberta,2024,4.7,9519,44737.9,31763.9,12974.0,11542.4,6129.1,5950.1
Manitoba,2015,1.4,5977,8367.4,5940.9,2426.5,2158.8,1146.3,1112.9
Manitoba,2016,1.4,6169,8636.5,6131.9,2504.6,2228.2,1183.2,1148.7
Manitoba,2017,1.4,6403,8964.8,6365.0,2599.8,2312.9,1228.2,1192.3
Manitoba,2018,1.4,6641,9297.1,6601.0,2696.2,2398.7,1273.7,1236.5
Manitoba,2019,1.4,6805,9527.3,6764.4,2762.9,2458.0,1305.2,1267.1
Manitoba,2020,1.4,7372,10320.7,7327.7,2993.0,2662.7,1413.9,1372.7
Manitoba,2021,1.4,7798,10916.7,7750.9,3165.9,2816.5,1495.6,1451.9
Manitoba,2022,1.4,8051,11271.6,8002.9,3268.8,2908.1,1544.2,1499.1
Manitoba,2023,1.4,8354,11695.7,8303.9,3391.7,3017.5,1602.3,1555.5
Manitoba,2024,1.4,8645,12102.8,8593.0,3509.8,3122.5,1658.1,1609.7
Saskatchewan,2015,1.2,6020,7223.7,5128.8,2094.9,1863.7,989.6,960.8
Saskatchewan,2016,1.2,6204,7445.2,5286.1,2159.1,1920.9,1020.0,990.2
Saskatchewan,2017,1.2,6440,7727.8,5486.7,2241.1,1993.8,1058.7,1027.8
Saskatchewan,2018,1.2,6778,8133.3,5774.7,2358.7,2098.4,1114.3,1081.7
Saskatchewan,2019,1.2,7058,8469.4,6013.3,2456.1,2185.1,1160.3,1126.4
Saskatchewan,2020,1.2,7580,9095.6,6457.9,2637.7,2346.7,1246.1,1209.7
Saskatchewan,2021,1.2,7856,9427.6,6693.6,2734.0,2432.3,1291.6,1253.9
Saskatchewan,2022,1.2,8033,9639.1,6843.7,2795.3,2486.9,1320.6,1282.0
Saskatchewan,2023,1.2,8448,10137.5,7197.7,2939.9,2615.5,1388.8,1348.3
Saskatchewan,2024,1.2,8987,10784.2,7656.8,3127.4,2782.3,1477.4,1434.3
Nova Scotia,2015,1.0,5770,5770.3,4096.9,1673.4,1488.7,790.5,767.4
Nova Scotia,2016,1.0,6007,6007.2,4265.1,1742.1,1549.9,823.0,799.0
Nova Scotia,2017,1.0,6196,6195.8,4399.0,1796.8,1598.5,848.8,824.0
Nova Scotia,2018,1.0,6432,6431.6,4566.4,1865.2,1659.4,881.1,855.4
Nova Scotia,2019,1.0,6805,6805.2,4831.7,1973.5,1755.7,932.3,905.1
Nova Scotia,2020,1.0,7355,7355.0,5222.1,2133.0,1897.6,1007.6,978.2
Nova Scotia,2021,1.0,7650,7650.2,5431.6,2218.6,1973.8,1048.1,1017.5
Nova Scotia,2022,1.0,7864,7864.0,5583.4,2280.6,2028.9,1077.4,1045.9
Nova Scotia,2023,1.0,8166,8165.7,5797.6,2368.0,2106.7,1118.7,1086.0
Nova Scotia,2024,1.0,8545,8544.5,6066.6,2477.9,2204.5,1170.6,1136.4
New Brunswick,2015,0.8,5751,4601.1,3266.8,1334.3,1187.1,630.3,611.9
New Brunswick,2016,0.8,6040,4831.9,3430.7,1401.3,1246.6,662.0,642.6
New Brunswick,2017,0.8,6190,4952.1,3516.0,1436.1,1277.6,678.4,658.6
New Brunswick,2018,0.8,6534,5227.6,3711.6,1516.0,1348.7,716.2,695.3
New Brunswick,2019,0.8,6497,5197.6,3690.3,1507.3,1341.0,712.1,691.3
New Brunswick,2020,0.8,7231,5784.9,4107.3,1677.6,1492.5,792.5,769.4
New Brunswick,2021,0.8,7573,6058.6,4301.6,1757.0,1563.1,830.0,805.8
New Brunswick,2022,0.8,7672,6137.9,4357.9,1780.0,1583.6,840.9,816.3
New Brunswick,2023,0.8,8049,6439.2,4571.8,1867.4,1661.3,882.2,856.4
New Brunswick,2024,0.8,8331,6664.8,4732.0,1932.8,1719.5,913.1,886.4
Newfoundland and Labrador,2015,0.5,5920,2959.9,2101.6,858.4,763.7,405.5,393.7
Newfoundland and Labrador,2016,0.5,6180,3090.2,2194.0,896.1,797.3,423.4,411.0
Newfoundland and Labrador,2017,0.5,6506,3252.8,2309.5,943.3,839.2,445.6,432.6
Newfoundland and Labrador,2018,0.5,6626,3313.2,2352.4,960.8,854.8,453.9,440.7
Newfoundland and Labrador,2019,0.5,6851,3425.7,2432.3,993.5,883.8,469.3,455.6
Newfoundland and Labrador,2020,0.5,7388,3694.1,2622.8,1071.3,953.1,506.1,491.3
Newfoundland and Labrador,2021,0.5,7905,3952.7,2806.4,1146.3,1019.8,541.5,525.7
Newfoundland and Labrador,2022,0.5,7993,3996.6,2837.6,1159.0,1031.1,547.5,531.5
Newfoundland and Labrador,2023,0.5,8281,4140.7,2939.9,1200.8,1068.3,567.3,550.7
Newfoundland and Labrador,2024,0.5,8845,4422.6,3140.0,1282.5,1141.0,605.9,588.2
Prince Edward Island,2015,0.17,5669,963.7,684.2,279.5,248.6,132.0,128.2
Prince Edward Island,2016,0.17,5935,1009.0,716.4,292.6,260.3,138.2,134.2
Prince Edward Island,2017,0.17,6076,1033.0,733.4,299.6,266.5,141.5,137.4
Prince Edward Island,2018,0.17,6337,1077.3,764.9,312.4,278.0,147.6,143.3
Prince Edward Island,2019,0.17,6567,1116.5,792.7,323.8,288.1,153.0,148.5
Prince Edward Island,2020,0.17,6984,1187.3,843.0,344.3,306.3,162.7,157.9
Prince Edward Island,2021,0.17,7500,1275.0,905.2,369.7,328.9,174.7,169.6
Prince Edward Island,2022,0.17,7625,1296.2,920.3,375.9,334.4,177.6,172.4
Prince Edward Island,2023,0.17,7947,1351.1,959.3,391.8,348.6,185.1,179.7
Prince Edward Island,2024,0.17,8380,1424.7,1011.5,413.1,367.6,195.2,189.5
Northwest Territories,2015,0.045,9970,448.6,318.5,130.1,115.7,61.5,59.7
Northwest Territories,2016,0.045,10453,470.4,334.0,136.4,121.4,64.4,62.6
Northwest Territories,2017,0.045,10890,490.1,347.9,142.1,126.4,67.1,65.2
Northwest Territories,2018,0.045,11263,506.8,359.8,147.0,130.8,69.4,67.4
Northwest Territories,2019,0.045,11755,529.0,375.6,153.4,136.5,72.5,70.4
Northwest Territories,2020,0.045,12708,571.9,406.0,165.8,147.5,78.3,76.1
Northwest Territories,2021,0.045,13605,612.2,434.7,177.5,158.0,83.9,81.4
Northwest Territories,2022,0.045,13604,612.2,434.6,177.5,157.9,83.9,81.4
Northwest Territories,2023,0.045,14228,640.2,454.6,185.7,165.2,87.7,85.2
Northwest Territories,2024,0.045,14989,674.5,478.9,195.6,174.0,92.4,89.7
Nunavut,2015,0.04,15640,625.6,444.2,181.4,161.4,85.7,83.2
Nunavut,2016,0.04,16548,661.9,470.0,192.0,170.8,90.7,88.0
Nunavut,2017,0.04,17241,689.6,489.6,200.0,177.9,94.5,91.7
Nunavut,2018,0.04,18344,733.7,521.0,212.8,189.3,100.5,97.6
Nunavut,2019,0.04,18529,741.2,526.2,214.9,191.2,101.5,98.6
Nunavut,2020,0.04,20018,800.7,568.5,232.2,206.6,109.7,106.5
Nunavut,2021,0.04,21048,841.9,597.8,244.2,217.2,115.3,112.0
Nunavut,2022,0.04,21163,846.5,601.0,245.5,218.4,116.0,112.6
Nunavut,2023,0.04,22632,905.3,642.8,262.5,233.6,124.0,120.4
Nunavut,2024,0.04,23830,953.2,676.8,276.4,245.9,130.6,126.8
Yukon,2015,0.043,9853,423.7,300.8,122.9,109.3,58.0,56.4
Yukon,2016,0.043,10055,432.4,307.0,125.4,111.6,59.2,57.5
Yukon,2017,0.043,10712,460.6,327.0,133.6,118.8,63.1,61.3
Yukon,2018,0.043,10821,465.3,330.4,134.9,120.1,63.7,61.9
Yukon,2019,0.043,11448,492.3,349.5,142.8,127.0,67.4,65.5
Yukon,2020,0.043,12503,537.6,381.7,155.9,138.7,73.7,71.5
Yukon,2021,0.043,12780,549.5,390.2,159.4,141.8,75.3,73.1
Yukon,2022,0.043,13053,561.3,398.5,162.8,144.8,76.9,74.7
Yukon,2023,0.043,13732,590.5,419.2,171.2,152.3,80.9,78.5
Yukon,2024,0.043,14427,620.4,440.5,179.9,160.1,85.0,82.5
Canada,2015,39.4,6131,241544.9,171497.0,70048.1,62318.5,33091.5,32125.7
Canada,2016,39.4,6353,250289.2,177705.4,72583.9,64574.8,34289.7,33288.6
Canada,2017,39.4,6627,261096.8,185378.5,75718.1,67362.7,35770.1,34725.8
Canada,2018,39.4,6858,270186.3,191832.5,78354.1,69708.3,37015.5,35934.9
Canada,2019,39.4,7085,279149.3,198196.0,80953.2,72020.3,38243.3,37127.0
Canada,2020,39.4,7631,300647.1,213459.5,87187.6,77566.9,41188.6,39986.1
Canada,2021,39.4,8096,318964.3,226464.8,92499.8,82292.9,43698.2,42422.4
Canada,2022,39.4,8231,324287.6,230244.0,94043.5,83666.2,44427.5,43130.1
Canada,2023,39.4,8531,336102.4,238632.7,97469.6,86714.4,46046.0,44701.6
Canada,2024,39.4,9055,356761.6,253300.7,103460.8,92044.5,48876.3,47449.3
